product_id,name,price,original_price,discount,rating,review_count,sold_count,brand,category
10767515,Sách Phân Tâm Học Nhập Môn,127200,159000,20,4.7,442,4048,,8322
8886007,Sách Ngàn Mặt Trời Rực Rỡ (Tái Bản),100100,130000,23,4.8,1372,10503,,8322
3639597,Sách Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),80000,100000,20,4.8,4035,48812,,8322
278229520,Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 21 [Tặng Kèm Obi + Bộ Đôi Card PVC],83600,88000,5,5.0,3,40,,8322
278226970,Sách - Totto-chan bên cửa sổ những chuyện tiếp theo (Nhã Nam HCM),136000,155000,12,5.0,1,2,,8322
278160119,One-Punch Man - Tập 30: Chướng Ngại Lớn Nhất (Bản Thường),29400,30000,2,5.0,3,55,,8322
278160115,Thám Tử Lừng Danh Conan - Tập 32 (Bản Nâng Cấp) [Tặng Kèm Bookmark],34300,35000,2,5.0,2,21,,8322
278122197,Sách Tàng Long Quyết,147400,209000,29,5.0,1,51,,8322
278089743,Sách Good Energy - Năng Lượng Tốt,152900,229000,33,5.0,9,234,,8322
278076371,Combo Hồi Ức Hành Trình Vì Hòa Bình - Nguyễn Chí Vịnh + Từ Sông Bến Hải Đến Dinh Độc Lập,195940,240000,18,4.6,7,68,,8322
278074011,Tây Du Lầy Lội Ký 2,165550,215000,23,5.0,1,34,,8322
278055563,Sách Sông Đà: Lịch Sử Một Vùng Biên Cảnh Việt Nam,234992,399000,41,5.0,9,108,,8322
277933562,Sách OSHO – Giác Ngộ,130700,189000,31,4.8,5,123,,8322
277857894,Sách Kỷ Vật Vô Giá,151400,219000,31,4.3,12,124,,8322
277587065,Sách 365 Ngày Ký Họa 5 Giây Vẽ Tất Tần Tật Mọi Thứ Trên Đời,119200,149000,20,5.0,6,153,,8322
277581147,[Sách Màu] Xây Nhà - Ngàn điều cần biết - Phiên bản 2025,349000,369000,5,5.0,19,268,,8322
277381902,Sách Tiếng gọi chân trời - Nguyễn Ngọc Tư,66000,95000,31,5.0,36,626,,8322
277164024,Sách Đất đai (Ham muốn sở hữu định hình thế giới hiện Đại),213788,290000,26,5.0,17,174,,8322
276968794,Truyện - Naruto - Chọn Lẻ Tập 1 - 25 - Masashi Kishimoto - NXB Kim Đồng,35000,35000,0,3.8,4,49,,8322
275215840,Sách Giáo Khoa Bộ Lớp 6 - Chân Trời Sáng Tạo - Sách Bài Học (Bộ 12 Cuốn) (Chuẩn),177400,182400,3,4.0,7,106,,8322
273135675,Sách KIỂM SOÁT SỰ TẬP TRUNG GIỮA CƠN BÃO CÔNG NGHỆ,165550,215000,23,5.0,29,390,,8322
273114488,Sách Tư Duy Ngược,126000,179000,30,4.5,74,2087,,8322
272888010,Sách Sống Khai Vấn - Sống Tỉnh Thức,140030,209000,33,4.8,42,735,,8322
272000024,Sách MBA bằng hình (Trọn gói hai năm kiến thức quản trị kinh doanh qua trực quan sinh động),151200,189000,20,5.0,254,4842,,8322
270504803,Sách 4 Nguyên Tắc Thực Thi (The 4 Disciplines Of Execution),153100,205000,25,5.0,24,785,,8322
205148094,Sách Cánh Cửa Mở Rộng -Thần Thoại Sisyphus,67000,95000,29,5.0,55,724,,8322
187843291,Sách Nhật ký Đặng Thùy Trâm,72000,90000,20,5.0,143,2175,,8322
184070223,Sách OSHO - Cảm Xúc,150400,188000,20,5.0,322,3392,,8322
174842858,Sách Sức Mạnh Của Ngôn Từ (Tái Bản 2022),88400,108000,18,5.0,313,4820,,8322
169546325,Sách Lời Hứa Về Một Cây Bút Chì (Tái Bản),98580,159000,38,4.8,73,698,,8322
165030729,Sách Những Kẻ Âu Lo,132000,180000,27,5.0,153,1646,,8322
154245455,Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng,199820,270000,26,5.0,297,2550,,8322
111290700,Sách Bố Già (Bìa Cứng) (Tái Bản),166000,250000,34,5.0,341,1881,,8322
104314401,Sách Bí Mật Của May Mắn (Khổ Lớn) (Tái Bản),54400,68000,20,4.8,543,5698,,8322
75953557,Tâm Lý Học Về Tiền,131080,189000,31,4.8,88,822,,8322
57815506,Sách Tư Duy Ngược Dịch Chuyển Thế Giới,138900,178000,22,4.8,412,4211,,8322
45663008,Sách Ngày Xưa Có Một Con Bò…(Tái Bản),51000,70000,27,4.8,1022,11214,,8322
32490132,Sách Một Đời Như Kẻ Tìm Đường,130000,175000,26,4.8,609,9209,,8322
10920495,Sách Dế Mèn Phiêu Lưu Ký,121000,150000,19,5.0,854,7458,,8322
10581200,Sách Dế Mèn Phiêu Lưu Ký (Tái Bản),40000,50000,20,5.0,1308,14036,,8322
2619499,Sách ​Liễu Phàm Tứ Huấn (Tái Bản 2018),39600,59000,33,4.8,284,5262,,8322
1702825,Sách Hóa Thân (Tái Bản),43200,54000,20,4.8,193,2918,,8322
1085104,Sách Nghệ Thuật Đàm Phán Đỉnh Cao,100000,149000,33,4.5,21,791,,8322
